# input file for particle conversion to/from sophia
# the format of this file is: "corsika-identifier" "sophia-id" "can-interact-in-sophia" "cross-section-type"

# The unknown particle is to handle all particles that are not known to sophia.
# It is important that sophia-id does not overlap with any existing sophia particle!
# Be careful
Unknown                  0       0       CannotInteract

# Here is the list of particles known to sophia 
Electron                 3       0       CannotInteract
Positron                 2       0       CannotInteract
NuE                      15      0       CannotInteract
NuEBar                   16      0       CannotInteract
MuMinus                  5       0       CannotInteract
MuPlus                   4       0       CannotInteract
NuMu                     17      0       CannotInteract
NuMuBar                  18      0       CannotInteract
Photon                   1       1       Photon
Pi0                      6       0       CannotInteract
#                        rho0    could interact but sophia has no cross section/interaction length. was used for gamma had int
Rho0                     27      0       CannotInteract
K0Long                   11      0       CannotInteract
K0                       21      0       CannotInteract
K0Bar                    22      0       CannotInteract
PiPlus                   7       0       CannotInteract
PiMinus                  8       0       CannotInteract
RhoPlus                  25      0       CannotInteract
RhoMinus                 26      0       CannotInteract
Eta                      23      0       CannotInteract
EtaPrime                 24      0       CannotInteract
Omega                    32      0       CannotInteract
K0Short                  12      0       CannotInteract
KStar0                   30      0       CannotInteract
KStar0Bar                31      0       CannotInteract
KPlus                    9       0       CannotInteract
KMinus                   10      0       CannotInteract
KStarPlus                28      0       CannotInteract
KStarMinus               29      0       CannotInteract
Neutron                  14      0       CannotInteract
AntiNeutron              -14     0       CannotInteract
Delta0                   42      0       CannotInteract
Delta0Bar                -42     0       CannotInteract
Delta_1232_Minus         43      0       CannotInteract
Delta_1232_PlusBar       -43     0       CannotInteract
Proton                   13      0       CannotInteract
AntiProton               -13     0       CannotInteract
Delta_1232_Plus          41      0       CannotInteract
Delta_1232_MinusBar      -41     0       CannotInteract
Delta_1232_PlusPlus      40      0       CannotInteract
Delta_1232_MinusMinusBar -40     0       CannotInteract
SigmaMinus               36      0       CannotInteract
SigmaPlusBar             -36     0       CannotInteract
Sigma_1385_Minus         46      0       CannotInteract
Sigma_1385_PlusBar       -46     0       CannotInteract
Sigma_1385_Plus          44      0       CannotInteract
Sigma_1385_MinusBar      -44     0       CannotInteract
Sigma_1385_0             45      0       CannotInteract
Sigma_1385_0Bar          -45     0       CannotInteract
Lambda                   39      0       CannotInteract
LambdaBar                -39     0       CannotInteract
Sigma0                   35      0       CannotInteract
Sigma0Bar                -35     0       CannotInteract
SigmaPlus                34      0       CannotInteract
SigmaMinusBar            -34     0       CannotInteract
XiMinus                  38      0       CannotInteract
XiPlusBar                -38     0       CannotInteract
Xi0                      37      0       CannotInteract
Xi0Bar                   -37     0       CannotInteract
Xi_1530_Minus            48      0       CannotInteract
Xi_1530_PlusBar          -48     0       CannotInteract  
Xi_1530_0                47      0       CannotInteract
Xi_1530_0Bar             -47     0       CannotInteract
OmegaMinus               49      0       CannotInteract
OmegaPlusBar             -49     0       CannotInteract
Phi                      33      0       CannotInteract
